Average_Rating,Average_Difficulty,Number_of_Ratings,Received_Pepper,Proportion_Take_Again,Online_Ratings,Male,Female,Major_Field,University,State
3.6,3.5,10.0,1,,0.0,0,0,English,University of Kentucky,KY
3.5,3.3,22.0,0,56.0,7.0,1,0,English,Eastern Florida State College,FL
2.6,4.1,10.0,0,,0.0,1,0,Management,University of Alabama,AL
4.3,3.3,16.0,1,83.0,0.0,0,1,English,Concordia University,QC
4.1,1.8,8.0,0,,0.0,0,1,Education,Mount Royal University,AB
3.5,3.2,20.0,1,,0.0,1,0,Business,Benedictine University,IL
1.8,3.8,15.0,0,22.0,1.0,0,1,Psychology,Florida State College at Jacksonville,FL
4.1,3.3,21.0,0,67.0,0.0,0,1,English,Texas A&M University at College Station,TX
4.2,2.7,8.0,1,,1.0,0,1,English,Central Michigan University,MI
4.2,1.8,26.0,1,57.0,8.0,1,0,History,Pasadena City College,CA
3.8,3.1,15.0,1,,2.0,0,1,Psychology,University of Saskatchewan,SK
4.4,2.7,6.0,1,,0.0,0,1,Linguistics,University of Mary Washington,VA
3.1,3.7,7.0,0,50.0,1.0,1,0,Business,Otterbein University,OH
2.1,4.0,18.0,0,12.0,1.0,0,0,Finance,Baruch College,NY
3.3,4.3,7.0,1,,0.0,1,0,Physical Education,Old Dominion University,VA
4.8,1.2,8.0,1,,0.0,1,0,New Student Seminar,Cincinnati State,OH
4.1,3.7,10.0,1,,0.0,0,0,Business Administration,University of Mary Washington,VA
3.4,3.3,11.0,0,,0.0,0,1,English,Bentley University,MA
4.0,3.9,10.0,1,,0.0,1,0,Mathematics,Appalachian State University,NC
4.6,1.7,11.0,0,,0.0,0,1,English,State College of Florida Manatee-Sarasota,FL
1.9,3.7,6.0,0,,0.0,0,0,Humanities,University of Massachusetts,MA
3.4,2.7,11.0,0,,0.0,0,1,Biological Sciences,Pennsylvania State University,PA
3.6,3.2,17.0,0,86.0,0.0,0,0,English,University of South Carolina,SC
4.3,2.9,9.0,0,100.0,0.0,1,0,Marketing,University of Northern Iowa,IA
4.6,2.2,16.0,1,89.0,1.0,0,1,Mathematics,Northern Virginia Community College (all campuses),VA
4.8,2.0,6.0,1,,0.0,0,1,Criminal Justice,Virginia Commonwealth University,VA
3.0,2.5,13.0,0,43.0,0.0,0,0,Physics,University of Texas at Dallas,TX
4.5,3.2,10.0,0,89.0,5.0,1,0,History,University of Alabama,AL
2.8,2.3,9.0,0,50.0,0.0,0,1,Dramatic Arts,University of North Carolina at Chapel Hill,NC
3.2,3.9,29.0,0,50.0,0.0,1,0,Chemistry,University of Colorado Colorado Springs,CO
3.8,3.0,25.0,0,55.0,0.0,1,0,Psychology,Santa Barbara City College,CA
5.0,1.9,60.0,1,100.0,4.0,0,1,MathDevelopmental Math,Lone Star College (all),TX
4.9,1.8,17.0,1,,0.0,0,1,Journalism,Miami Dade College (all),FL
2.3,3.8,23.0,0,31.0,0.0,0,1,History,University of Alaska Anchorage,AK
1.3,4.5,12.0,0,,0.0,0,0,Engineering,Kennesaw State University,GA
1.4,4.4,8.0,0,20.0,0.0,1,0,Engineering,Michigan Technological University,MI
4.3,2.5,30.0,1,86.0,0.0,0,0,Chemistry,Nassau Community College,NY
4.2,3.1,9.0,1,,0.0,0,0,Communication,University of Florida,FL
4.2,2.1,7.0,1,,4.0,0,1,Environmental Science  Mgmt.,University of Maryland University College,MD
2.9,3.2,6.0,0,,5.0,1,0,Public Affairs,Arizona State University,AZ
1.6,4.1,12.0,0,,0.0,1,0,Mathematics,University of Portland,OR
4.8,2.5,24.0,0,100.0,14.0,1,0,Psychology,Immaculata University,PA
3.6,2.7,6.0,0,,0.0,1,0,Business,Wilfrid Laurier University-Waterloo,ON
2.0,4.0,8.0,0,,4.0,1,1,English,George Mason University,VA
3.1,2.4,8.0,0,60.0,0.0,0,0,Information Systems,University of Arkansas,AR
4.7,1.7,7.0,0,100.0,1.0,0,1,English,Texas Tech University,TX
4.8,2.6,26.0,0,100.0,0.0,1,0,Mathematics,University of Wisconsin - Milwaukee,WI
4.4,3.1,13.0,1,,0.0,0,1,History,Simon Fraser University,BC
3.0,3.4,8.0,1,50.0,1.0,1,0,Anatomy  Physiology,Polk State College,FL
3.8,2.4,16.0,1,70.0,0.0,1,0,Criminology Law  Society,University of California Irvine,CA
3.5,1.4,9.0,0,67.0,0.0,0,0,Communication,University of North Carolina Wilmington,NC
4.5,2.3,15.0,0,88.0,0.0,0,1,English,Louisiana State University,LA
3.0,3.8,26.0,0,70.0,0.0,0,1,Biology,University of Louisville,KY
2.0,4.7,6.0,0,,0.0,0,0,Chemistry,California State University Fresno,CA
3.6,3.7,14.0,0,20.0,1.0,1,0,Communication,University of Guelph-Humber,ON
4.6,3.2,29.0,1,94.0,0.0,0,0,Mathematics,University of Georgia,GA
4.1,3.2,9.0,0,,0.0,1,0,Biology,Madonna University,MI
1.9,3.6,17.0,0,,0.0,0,0,Geology,Louisiana State University,LA
4.0,2.6,9.0,1,,0.0,1,0,Physics,Saint Louis University,MO
2.6,3.6,7.0,0,,0.0,1,0,International Business,Pepperdine University's Graziadio School of Business,CA
3.4,2.5,6.0,0,,0.0,0,0,Sociology,University of Saskatchewan,SK
2.7,4.0,12.0,0,,0.0,0,1,Engineering,University of Wisconsin - Platteville,WI
4.4,1.5,19.0,1,100.0,1.0,0,1,Languages,University of Tennessee - Knoxville,TN
4.5,2.5,6.0,0,,3.0,1,0,Psychology,Anderson University,SC
4.0,3.1,7.0,0,,0.0,1,0,English,New York City College of Technology,NY
4.8,2.6,8.0,1,,7.0,1,0,Business,University of Hawaii West Oahu,HI
4.5,3.4,12.0,1,100.0,0.0,1,0,Biology,Providence College,RI
3.8,2.8,12.0,1,67.0,2.0,1,0,Mathematics,Augusta Technical College,GA
4.5,3.2,9.0,1,,1.0,0,1,Science,Jefferson College,MO
4.6,1.9,8.0,0,,0.0,1,0,Science,Broward College (all campuses),FL
3.9,2.7,9.0,1,,0.0,0,1,History,Georgia Highlands College,GA
